turns,b_field_power,b_field_current,current,voltage,power
513,0.14760877903969866,0.14760877903969863,40.0,168.02927688245845,6721.171075298338
514,0.14789651545108207,0.14789651545108207,40.0,168.35681933252172,6734.272773300869
515,0.14818425186246548,0.1481842518624655,40.0,168.68436178258497,6747.374471303399
516,0.14847198827384891,0.14847198827384891,40.0,169.01190423264825,6760.47616930593
517,0.14875972468523233,0.14875972468523235,40.0,169.33944668271153,6773.577867308461
518,0.14904746109661576,0.14904746109661576,40.0,169.6669891327748,6786.679565310992
519,0.14933519750799917,0.1493351975079992,40.0,169.99453158283808,6799.781263313523
520,0.1496229339193826,0.14962293391938264,40.0,170.32207403290136,6812.882961316055
521,0.14991067033076608,0.14991067033076605,40.0,170.64961648296463,6825.984659318586
522,0.15019840674214952,0.1501984067421495,40.0,170.9771589330279,6839.086357321116
523,0.15048614315353293,0.15048614315353293,40.0,171.30470138309119,6852.188055323647
524,0.15077387956491634,0.15077387956491636,40.0,171.63224383315446,6865.289753326178
525,0.15106161597629977,0.15106161597629977,40.0,171.9597862832177,6878.391451328709
526,0.15134935238768318,0.15134935238768318,40.0,172.287328733281,6891.49314933124
527,0.15163708879906662,0.15163708879906665,40.0,172.61487118334426,6904.59484733377
528,0.15192482521045003,0.15192482521045006,40.0,172.9424136334075,6917.696545336301
529,0.15221256162183347,0.1522125616218335,40.0,173.2699560834708,6930.7982433388315
530,0.1525002980332169,0.1525002980332169,40.0,173.59749853353406,6943.899941341362
531,0.15278803444460035,0.15278803444460035,40.0,173.92504098359734,6957.001639343894
532,0.15307577085598376,0.15307577085598378,40.0,174.25258343366062,6970.103337346424
533,0.1533635072673672,0.1533635072673672,40.0,174.58012588372387,6983.205035348955
534,0.1536512436787506,0.15365124367875063,40.0,174.90766833378714,6996.3067333514855
535,0.15393898009013404,0.15393898009013407,40.0,175.23521078385042,7009.408431354016
536,0.15422671650151748,0.15422671650151748,40.0,175.56275323391372,7022.5101293565485
537,0.15451445291290092,0.15451445291290092,40.0,175.890295683977,7035.611827359079
538,0.15480218932428433,0.15480218932428433,40.0,176.21783813404025,7048.713525361611
